species_label,species_name,is_calcifying,clade
Callep1130_1_FilteredModels2_proteins_2025-07-15,Calcidiscus leptoporus,true,
Chrlea393_1_FilteredModels1_proteins_2024-11-26,,false,
Chrpa1_1_FilteredModels1_proteins_2023-11-20,,false,
Chrsim136_1_FilteredModels1_proteins_2025-02-25,,false,
Chrsp_1_GeneCatalog_proteins_20180813.aa,,false,
Dirot4501_1_FilteredModels1_proteins_2024-03-26,,false,
Emihu1_FilteredModels6_proteins_2021-09-22,Emiliania huxleyi,true,
Gepoce1_GeneCatalog_proteins_20180824.aa,Gephyrocapsa oceanica,true,
Hymcor1016_1_FilteredModels2_proteins_2025-07-20,Hymenomonas coronata,true,
Imarot2298_1_FilteredModels1_proteins_2024-05-09,,false,
Imarot4477_3_FilteredModels1_proteins_2024-11-15,,false,
Imarot4500_1_FilteredModels1_proteins_2024-12-15,,false,
Imarot4780_1_FilteredModels1_proteins_2025-01-08,,false,
Imarot704_1_FilteredModels1_proteins_2024-10-21,,false,
IsochDm2_1_FilteredModels1_proteins_2024-11-19,,false,
Isogal1_GeneCatalog_proteins_20180824.aa,Isochrysis galbana,false,
Ochro3194_1_FilteredModels3_proteins_2025-06-04,Ochrosphaera neapolitana,true,
Pavlova2550_1_FilteredModels1_proteins_2024-04-27,,false,
Pavlova5622_1_FilteredModels1_proteins_2024-06-07,,false,
Pavlova6257_1_FilteredModels1_proteins_2023-12-11,,false,
Phaant1_GeneCatalog_proteins_20181014.aa,Phaeocystis antarctica,false,
Phaglo1_GeneCatalog_proteins_20181013.aa,Phaeocystis globosa,false,
Platy1217_1_FilteredModels1_proteins_2025-01-21,,false,
Pleelo874_1_FilteredModels1_proteins_2025-07-25,Pleurochrysis elongata,true,
Pparv12B1_1_1_FilteredModels1_proteins_2025-04-20,Prymnesium parvum,false,
Psesor5268_1_FilteredModels1_proteins_2025-09-09,,false,
Umbfol2878_1_FilteredModels2_proteins_2025-06-05,Umbilicosphaera foliosa,true,
